command	c_handler	c_min_position	c_min_level	c_subcmd	status	go_evidence
reel	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
reload	do_reboot	POS_DEAD	LVL_IMPL-1	0	registered	pkg/session/commands.go:registerCommand("reload", ...)
remort	do_not_here	POS_STANDING	0	0	implemented-unwired	pkg/session/cmd_misc.go:cmdnothere
remove	do_remove	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("remove", ...)
ren	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
rent	do_not_here	POS_STANDING	1	0	implemented-unwired	pkg/session/cmd_misc.go:cmdnothere
reply	do_reply	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("reply", ...)
report	do_report	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("report", ...)
reroll	do_wizutil	POS_DEAD	LVL_GRGOD	SCMD_REROLL	registered	pkg/session/commands.go:registerCommand("reroll", ...)
rescue	do_rescue	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("rescue", ...)
rest	do_rest	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("rest", ...)
restore	do_restore	POS_DEAD	LVL_GOD-1	0	registered	pkg/session/commands.go:registerCommand("restore", ...)
retreat	do_retreat	POS_FIGHTING	0	0	specproc	pkg/game/spec_procs.go
retrieve	do_not_here	POS_STANDING	1	0	specproc	pkg/game/spec_procs3.go
retsu	do_kuji_kiri	POS_STANDING	0	SKILL_KK_RETSU	registered	pkg/session/commands.go:registerCommand("retsu", ...)
return	do_return	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("return", ...)
review	do_review	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("review", ...)
ride	do_ride	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("ride", ...)
rin	do_kuji_kiri	POS_STANDING	0	SKILL_KK_RIN	registered	pkg/session/commands.go:registerCommand("rin", ...)
rlist	do_rlist	POS_DEAD	LVL_BUILDER	0	registered	pkg/session/commands.go:registerCommand("rlist", ...)
roar	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
rofl	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
roll	do_roll	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("roll", ...)
roomflags	do_gen_tog	POS_DEAD	LVL_IMMORT	SCMD_ROOMFLAGS	registered	pkg/session/commands.go:registerCommand("roomflags", ...)
rsay	do_race_say	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("rsay", ...)
ruffle	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
salute	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
save	do_save	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("save", ...)
say	do_say	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("say", ...)
scoff	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
score	do_score	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("score", ...)
scout	do_scout	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("scout", ...)
scratch	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
scream	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
scrounge	do_scrounge	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("scrounge", ...)
search	do_detect	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("search", ...)
sedit	do_olc	POS_DEAD	LVL_BUILDER	SCMD_OLC_SEDIT	missing	no implementation found
sell	do_not_here	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("sell", ...)
send	do_send	POS_SLEEPING	LVL_GOD	0	registered	pkg/session/commands.go:registerCommand("send", ...)
serpent	do_serpent_kick	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("serpent", ...)
set	do_set	POS_DEAD	LVL_GOD	0	registered	pkg/session/commands.go:registerCommand("set", ...)
sethunt	do_sethunt	POS_DEAD	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("sethunt", ...)
sha	do_kuji_kiri	POS_STANDING	0	SKILL_KK_SHA	registered	pkg/session/commands.go:registerCommand("sha", ...)
