command	c_handler	c_min_position	c_min_level	c_subcmd	status	go_evidence
balance	do_not_here	POS_STANDING	1	0	specproc	pkg/game/spec_procs4.go
ban	do_ban	POS_DEAD	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("ban", ...)
bash	do_bash	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("bash", ...)
bearhug	do_bearhug	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("bearhug", ...)
beckon	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
beg	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
behead	do_behead	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("behead", ...)
bellow	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
berserk	do_berserk	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("berserk", ...)
bird	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bitch	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bite	do_bite	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("bite", ...)
blame	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bleed	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bless	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
blink	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
blush	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
boggle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
boink	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bonk	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bounce	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
bow	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
brb	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
brief	do_gen_tog	POS_DEAD	0	SCMD_BRIEF	registered	pkg/session/commands.go:registerCommand("brief", ...)
bug	do_gen_write	POS_DEAD	0	SCMD_BUG	registered	pkg/session/commands.go:registerCommand("bug", ...)
burp	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
buy	do_not_here	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("buy", ...)
cackle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
carve	do_carve	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("carve", ...)
cast	do_cast	POS_SITTING	1	0	registered	pkg/session/commands.go:registerCommand("cast", ...)
charge	do_charge	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("charge", ...)
check	do_not_here	POS_STANDING	1	0	implemented-unwired	pkg/session/cmd_misc.go:cmdnothere
checkload	do_checkload	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("checkload", ...)
cheer	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
chide	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
chuckle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
circle	do_circle	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("circle", ...)
clan	do_clan	POS_SLEEPING	1	0	registered	pkg/session/commands.go:registerCommand("clan", ...)
clap	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
clear	do_gen_ps	POS_DEAD	0	SCMD_CLEAR	registered	pkg/session/commands.go:registerCommand("clear", ...)
close	do_gen_door	POS_SITTING	0	SCMD_CLOSE	registered	pkg/session/commands.go:registerCommand("close", ...)
cls	do_gen_ps	POS_DEAD	0	SCMD_CLEAR	registered	pkg/session/commands.go:registerCommand("cls", ...)
collect	do_not_here	POS_RESTING	0	0	implemented-unwired	pkg/session/cmd_misc.go:cmdnothere
color	do_color	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("color", ...)
comb	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
comfort	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
commands	do_commands	POS_DEAD	0	SCMD_COMMANDS	registered	pkg/session/commands.go:registerCommand("commands", ...)
compact	do_gen_tog	POS_DEAD	0	SCMD_COMPACT	registered	pkg/session/commands.go:registerCommand("compact", ...)
compare	do_compare	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("compare", ...)
consider	do_consider	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("consider", ...)
cough	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
credits	do_gen_ps	POS_DEAD	0	SCMD_CREDITS	registered	pkg/session/commands.go:registerCommand("credits", ...)
cringe	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
cry	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
ctell	do_ctell	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("ctell", ...)
cuddle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
curse	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
curtsey	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
cutthroat	do_cutthroat	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("cutthroat", ...)
dance	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
dark	do_dark	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("dark", ...)
date	do_date	POS_DEAD	LVL_IMMORT	SCMD_DATE	registered	pkg/session/commands.go:registerCommand("date", ...)
daydream	do_action	POS_SLEEPING	0	0	social	pkg/game/socials.txt
dc	do_dc	POS_DEAD	LVL_IMMORT+1	0	registered	pkg/session/commands.go:registerCommand("dc", ...)
deposit	do_not_here	POS_STANDING	1	0	specproc	pkg/game/spec_procs4.go
diagnose	do_diagnose	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("diagnose", ...)
dig	do_dig	POS_RESTING	LVL_BUILDER	0	implemented-unwired	pkg/command/skill_commands.go:cmddig
disarm	do_disarm	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("disarm", ...)
disembowel	do_disembowel	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("disembowel", ...)
dismount	do_dismount	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("dismount", ...)
display	do_display	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("display", ...)
dns	do_dns	POS_DEAD	LVL_IMPL-1	0	missing	no implementation found
doh	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
donate	do_drop	POS_RESTING	0	SCMD_DONATE	registered	pkg/session/commands.go:registerCommand("donate", ...)
down	do_move	POS_STANDING	0	SCMD_DOWN	registered	pkg/session/commands.go:registerCommand("down", ...)
dragon	do_dragon_kick	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("dragon", ...)
dream	do_dream	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("dream", ...)
drink	do_drink	POS_RESTING	0	SCMD_DRINK	registered	pkg/session/commands.go:registerCommand("drink", ...)
drool	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
drop	do_drop	POS_RESTING	0	SCMD_DROP	registered	pkg/session/commands.go:registerCommand("drop", ...)
east	do_move	POS_STANDING	0	SCMD_EAST	registered	pkg/session/commands.go:registerCommand("east", ...)
eat	do_eat	POS_RESTING	0	SCMD_EAT	registered	pkg/session/commands.go:registerCommand("eat", ...)
echo	do_echo	POS_SLEEPING	LVL_IMMORT	SCMD_ECHO	registered	pkg/session/commands.go:registerCommand("echo", ...)
embrace	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
emote	do_echo	POS_RESTING	1	SCMD_EMOTE	registered	pkg/session/commands.go:registerCommand("emote", ...)
enter	do_enter	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("enter", ...)
equipment	do_equipment	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("equipment", ...)
escape	do_retreat	POS_FIGHTING	0	0	specproc	pkg/game/spec_procs.go
examine	do_examine	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("examine", ...)
exits	do_exits	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("exits", ...)
fade	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
faint	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
farewell	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
fart	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
fill	do_pour	POS_STANDING	0	SCMD_FILL	registered	pkg/session/commands.go:registerCommand("fill", ...)
finger	do_whois	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("finger", ...)
flee	do_flee	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("flee", ...)
flesh	do_flesh_alter	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("flesh", ...)
flex	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
flip	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
flirt	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
follow	do_follow	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("follow", ...)
fondle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
force	do_force	POS_SLEEPING	LVL_GOD	0	registered	pkg/session/commands.go:registerCommand("force", ...)
freeze	do_wizutil	POS_DEAD	LVL_FREEZE	SCMD_FREEZE	registered	pkg/session/commands.go:registerCommand("freeze", ...)
french	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
frown	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
fume	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
future	do_gen_ps	POS_DEAD	0	SCMD_FUTURE	registered	pkg/session/commands.go:registerCommand("future", ...)
fwap	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
gag	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
gasp	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
gecho	do_gecho	POS_DEAD	LVL_GOD	0	registered	pkg/session/commands.go:registerCommand("gecho", ...)
get	do_get	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("get", ...)
giggle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
give	do_give	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("give", ...)
glance	do_diagnose	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("glance", ...)
glare	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
gold	do_coins	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("gold", ...)
goose	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
gossip	do_gen_comm	POS_SLEEPING	0	SCMD_GOSSIP	registered	pkg/session/commands.go:registerCommand("gossip", ...)
goto	do_goto	POS_SLEEPING	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("goto", ...)
grab	do_grab	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("grab", ...)
grats	do_gen_comm	POS_SLEEPING	0	SCMD_GRATZ	registered	pkg/session/commands.go:registerCommand("grats", ...)
greet	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
grimace	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
grin	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
groan	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
groinrip	do_groinrip	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("groinrip", ...)
grope	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
group	do_group	POS_SLEEPING	1	0	registered	pkg/session/commands.go:registerCommand("group", ...)
grovel	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
growl	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
grumble	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
gsay	do_gsay	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("gsay", ...)
gtell	do_gsay	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("gtell", ...)
handbook	do_gen_ps	POS_DEAD	LVL_IMMORT	SCMD_HANDBOOK	registered	pkg/session/commands.go:registerCommand("handbook", ...)
hcontrol	do_hcontrol	POS_DEAD	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("hcontrol", ...)
headbutt	do_headbutt	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("headbutt", ...)
heh	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
help	do_help	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("help", ...)
hiccup	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
hide	do_hide	POS_RESTING	1	0	registered	pkg/session/commands.go:registerCommand("hide", ...)
highfive	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
hire	do_not_here	POS_STANDING	0	0	implemented-unwired	pkg/session/cmd_misc.go:cmdnothere
hit	do_hit	POS_FIGHTING	0	SCMD_HIT	registered	pkg/session/commands.go:registerCommand("hit", ...)
hold	do_grab	POS_RESTING	1	0	registered	pkg/session/commands.go:registerCommand("hold", ...)
holler	do_gen_comm	POS_RESTING	1	SCMD_HOLLER	registered	pkg/session/commands.go:registerCommand("holler", ...)
holylight	do_gen_tog	POS_DEAD	LVL_IMMORT	SCMD_HOLYLIGHT	registered	pkg/session/commands.go:registerCommand("holylight", ...)
home	do_home	POS_RESTING	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("home", ...)
hop	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
house	do_house	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("house", ...)
howl	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
hug	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
hum	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
hump	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
hush	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
idea	do_gen_write	POS_DEAD	0	SCMD_IDEA	registered	pkg/session/commands.go:registerCommand("idea", ...)
ident	do_gen_tog	POS_DEAD	LVL_IMPL-1	SCMD_IDENT	registered	pkg/session/commands.go:registerCommand("ident", ...)
idlist	do_idlist	POS_DEAD	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("idlist", ...)
immlist	do_gen_ps	POS_DEAD	0	SCMD_IMMLIST	registered	pkg/session/commands.go:registerCommand("immlist", ...)
imotd	do_gen_ps	POS_DEAD	LVL_IMMORT	SCMD_IMOTD	registered	pkg/session/commands.go:registerCommand("imotd", ...)
inactive	do_inactive	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("inactive", ...)
info	do_gen_ps	POS_SLEEPING	0	SCMD_INFO	registered	pkg/session/commands.go:registerCommand("info", ...)
infobar	do_infobar	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("infobar", ...)
insult	do_insult	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("insult", ...)
inventory	do_inventory	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("inventory", ...)
invis	do_invis	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("invis", ...)
jeer	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
jin	do_kuji_kiri	POS_STANDING	0	SKILL_KK_JIN	registered	pkg/session/commands.go:registerCommand("jin", ...)
junk	do_drop	POS_RESTING	0	SCMD_JUNK	registered	pkg/session/commands.go:registerCommand("junk", ...)
kabuki	do_hide	POS_RESTING	1	SCMD_KABUKI	registered	pkg/session/commands.go:registerCommand("kabuki", ...)
kai	do_kuji_kiri	POS_STANDING	0	SKILL_KK_KAI	registered	pkg/session/commands.go:registerCommand("kai", ...)
kick	do_kick	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("kick", ...)
kill	do_kill	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("kill", ...)
kiss	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
kyo	do_kuji_kiri	POS_STANDING	0	SKILL_KK_KYO	registered	pkg/session/commands.go:registerCommand("kyo", ...)
lambada	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
last	do_last	POS_DEAD	LVL_GOD-1	0	registered	pkg/session/commands.go:registerCommand("last", ...)
laugh	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
leave	do_leave	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("leave", ...)
leer	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
levels	do_levels	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("levels", ...)
lick	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
lines	do_lines	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("lines", ...)
list	do_not_here	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("list", ...)
listen	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
load	do_load	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("load", ...)
lock	do_gen_door	POS_SITTING	0	SCMD_LOCK	registered	pkg/session/commands.go:registerCommand("lock", ...)
look	do_look	POS_RESTING	0	SCMD_LOOK	registered	pkg/session/commands.go:registerCommand("look", ...)
love	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
luaedit	do_luaedit	POS_DEAD	LVL_BUILDER	LVL_HIGOD	missing	no implementation found
mail	do_not_here	POS_STANDING	1	0	implemented-unwired	pkg/session/cmd_misc.go:cmdnothere
map	do_map	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("map", ...)
massage	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
medit	do_olc	POS_DEAD	LVL_BUILDER	SCMD_OLC_MEDIT	missing	no implementation found
mindlink	do_mindlink	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("mindlink", ...)
mlist	do_mlist	POS_DEAD	LVL_BUILDER	0	registered	pkg/session/commands.go:registerCommand("mlist", ...)
moan	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
mold	do_mold	POS_RESTING	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("mold", ...)
mosh	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
motd	do_gen_ps	POS_DEAD	0	SCMD_MOTD	registered	pkg/session/commands.go:registerCommand("motd", ...)
mount	do_ride	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("mount", ...)
muhaha	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
mumble	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
murder	do_hit	POS_FIGHTING	0	SCMD_MURDER	registered	pkg/session/commands.go:registerCommand("murder", ...)
mute	do_wizutil	POS_DEAD	1	SCMD_SQUELCH	registered	pkg/session/commands.go:registerCommand("mute", ...)
neckbreak	do_neckbreak	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("neckbreak", ...)
newbie	do_gen_comm	POS_SLEEPING	0	SCMD_NEWBIE	registered	pkg/session/commands.go:registerCommand("newbie", ...)
news	do_gen_ps	POS_SLEEPING	0	SCMD_NEWS	registered	pkg/session/commands.go:registerCommand("news", ...)
nibble	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
noauction	do_gen_tog	POS_DEAD	0	SCMD_NOAUCTION	registered	pkg/session/commands.go:registerCommand("noauction", ...)
nobroadcast	do_gen_tog	POS_DEAD	0	SCMD_NOBROAD	registered	pkg/session/commands.go:registerCommand("nobroadcast", ...)
noctell	do_gen_tog	POS_DEAD	0	SCMD_NOCTELL	registered	pkg/session/commands.go:registerCommand("noctell", ...)
nod	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
nogossip	do_gen_tog	POS_DEAD	0	SCMD_NOGOSSIP	registered	pkg/session/commands.go:registerCommand("nogossip", ...)
