command	reach_status	coverage	scenarios
inactive	registered	never-probed	
info	registered	probed	static-text.txt
infobar	registered	never-probed	
insult	registered	never-probed	
inventory	registered	probed	command-abbreviations.txt,inv-equip.txt,object-starting-gear.txt
invis	registered	never-probed	
jeer	social	never-probed	
jin	registered	never-probed	
junk	registered	probed	act-obj-sweep.txt
kabuki	implemented-unwired	never-probed	
kai	registered	never-probed	
kick	registered	never-probed	
kill	registered	never-probed	
kiss	social	never-probed	
kyo	registered	never-probed	
lambada	social	never-probed	
last	registered	never-probed	
laugh	social	never-probed	
leave	registered	never-probed	
leer	social	never-probed	
levels	registered	probed	pager-navigation.txt
lick	social	never-probed	
lines	registered	never-probed	
list	registered	never-probed	
listen	social	never-probed	
load	registered	never-probed	
lock	registered	probed	object-doors.txt
look	registered	probed	combat-death.txt,command-abbreviations.txt,look-start-room.txt,newbie-start-room.txt,observation-roomflags.txt,observation.txt,room-desc-exits.txt
love	social	never-probed	
luaedit	missing	never-probed	
mail	missing	never-probed	
map	registered	never-probed	
massage	social	never-probed	
medit	missing	never-probed	
mindlink	registered	never-probed	
mlist	registered	never-probed	
moan	social	never-probed	
mold	registered	never-probed	
mosh	social	never-probed	
motd	registered	probed	static-text.txt
mount	registered	never-probed	
muhaha	social	never-probed	
mumble	social	never-probed	
murder	implemented-unwired	never-probed	
mute	implemented-unwired	never-probed	
neckbreak	registered	never-probed	
newbie	registered	never-probed	
news	registered	probed	static-text.txt
nibble	social	never-probed	
noauction	registered	probed	toggle-cluster.txt
nobroadcast	registered	probed	toggle-cluster.txt
noctell	registered	probed	toggle-cluster.txt
nod	social	never-probed	
nogossip	registered	probed	toggle-cluster.txt
nograts	registered	probed	toggle-cluster.txt
nohassle	registered	never-probed	
nonewbie	registered	probed	toggle-cluster.txt
noogie	social	never-probed	
norepeat	registered	probed	toggle-cluster.txt
north	registered	probed	movement.txt,observation-roomflags.txt,position-gates.txt
noshout	registered	probed	toggle-cluster.txt
nosummon	registered	never-probed	
notell	registered	probed	toggle-cluster.txt
notitle	implemented-unwired	never-probed	
nowiz	registered	never-probed	
nudge	social	never-probed	
nuzzle	social	never-probed	
oedit	missing	never-probed	
offer	specproc	never-probed	
olc	missing	never-probed	
olist	registered	never-probed	
open	registered	probed	hunger-thirst.txt,object-door-messages.txt,object-doors.txt,object-inventory.txt
order	registered	never-probed	
orgasm	missing	never-probed	
pace	social	never-probed	
page	registered	never-probed	
palm	registered	never-probed	
pant	social	never-probed	
pardon	implemented-unwired	never-probed	
parry	missing	never-probed	
pat	social	never-probed	
peek	registered	never-probed	
peer	social	never-probed	
pick	registered	probed	object-doors.txt
pinch	social	never-probed	
piss	social	never-probed	
players	registered	never-probed	
plot	social	never-probed	
point	registered	never-probed	
poke	social	never-probed	
policy	registered	never-probed	
ponder	social	never-probed	
poofin	implemented-unwired	never-probed	
poofout	implemented-unwired	never-probed	
pose	social	never-probed	
pour	registered	probed	consumables.txt
pout	social	never-probed	
practice	registered	probed	guild-practice.txt,skills-practice.txt
pray	social	never-probed	
prompt	registered	never-probed	
puke	social	never-probed	
punch	social	never-probed	
purge	registered	never-probed	
purr	social	never-probed	
put	registered	probed	act-obj-sweep.txt,object-inventory.txt
qecho	implemented-unwired	never-probed	
qsay	implemented-unwired	never-probed	
quaff	registered	probed	help-system.txt,pager-navigation.txt,static-text.txt
quest	registered	never-probed	
qui	abbrev-stub	probed	command-abbreviations.txt
quit	registered	probed	hunger-thirst.txt,object-starting-gear.txt,quit-refuse.txt,room-desc-exits.txt
raise	social	never-probed	
read	registered	never-probed	
reallyquit	registered	never-probed	
recall	registered	never-probed	
receive	missing	never-probed	
recharge	specproc	never-probed	
recite	registered	probed	act-messages.txt
redit	missing	never-probed	
reel	social	never-probed	
reload	registered	never-probed	
remort	missing	never-probed	
remove	registered	probed	equipment-takename.txt,equipment.txt,inv-equip.txt,object-starting-gear.txt
ren	social	never-probed	
rent	missing	never-probed	
reply	registered	probed	communication.txt
report	registered	never-probed	
reroll	registered	never-probed	
rescue	registered	never-probed	
rest	registered	probed	pager-navigation.txt,position-gates.txt
restore	registered	never-probed	
retreat	specproc	never-probed	
retrieve	specproc	never-probed	
retsu	registered	never-probed	
return	registered	never-probed	
review	registered	never-probed	
ride	registered	never-probed	
rin	registered	never-probed	
rlist	registered	never-probed	
roar	social	never-probed	
rofl	social	never-probed	
roll	registered	never-probed	
roomflags	registered	never-probed	
rsay	implemented-unwired	never-probed	
ruffle	social	never-probed	
salute	social	never-probed	
save	registered	never-probed	
say	registered	probed	command-abbreviations.txt,communication.txt
scoff	social	never-probed	
score	registered	probed	act-informative-sweep.txt,character-view.txt,help-system.txt,hunger-thirst.txt,pager-navigation.txt,static-text.txt
scout	registered	never-probed	
scratch	social	never-probed	
scream	social	never-probed	
scrounge	registered	never-probed	
search	registered	never-probed	
sedit	missing	never-probed	
sell	registered	never-probed	
send	registered	never-probed	
serpent	registered	never-probed	
set	registered	never-probed	
sethunt	registered	never-probed	
sha	registered	never-probed	
shadow	implemented-unwired	never-probed	
shake	social	never-probed	
shame	social	never-probed	
sharpen	registered	never-probed	
shishkabob	social	never-probed	
shiver	social	never-probed	
shoot	registered	never-probed	
shout	registered	probed	communication-channels.txt
show	registered	never-probed	
shrug	social	never-probed	
shudder	social	never-probed	
shutdow	abbrev-stub	never-probed	
shutdown	registered	never-probed	
sigh	social	never-probed	
sing	social	never-probed	
sip	registered	never-probed	
sit	registered	probed	movement.txt,position-gates.txt
skillset	registered	never-probed	
slap	social	never-probed	
sleep	registered	probed	movement.txt,position-gates.txt
sleeper	registered	never-probed	
slowns	missing	never-probed	
slug	registered	never-probed	
smackheads	registered	never-probed	
smell	social	never-probed	
smile	social	probed	communication-channels.txt
smirk	social	never-probed	
snap	social	never-probed	
